"ID","MODEL","PAR1","PAR2","PAR3","PAR4","ID.NEW","Group"
"MA0032","2PL",1.77652047796982,0.234925647064733,NA,NA,"MA0164","FT"
"MA0041","2PL",1.68621690194983,-0.12109634017645,NA,NA,"MA0165","EE"
"MA0048","2PL",1.57443016999498,0.850541360162294,NA,NA,"MA0166","EE"
"MA0051","2PL",1.52346480694365,0.457105568530775,NA,NA,"MA0167","EE"
"MA0080","2PL",1.65374587573783,-0.563318699529816,NA,NA,"MA0168","EE"
"MA0088","2PL",1.46225326423032,-0.26946015500512,NA,NA,"MA0169","EE"
"MA0092","2PL",1.56846672914341,1.20732696529127,NA,NA,"MA0170","SP"
"MA0097","2PL",1.54401592643787,-1.26032922470503,NA,NA,"MA0171","EE"
"MA0099","2PL",1.76219453093732,-0.584912893713144,NA,NA,"MA0172","GM"
"MA0107","2PL",1.61774122757126,0.796564261971746,NA,NA,"MA0173","EE"
"MA0118","2PL",1.64543961882822,0.0342443620037914,NA,NA,"MA0174","FT"
"MA0119","2PL",1.44071393264126,0.567547648988235,NA,NA,"MA0175","EE"
"MA0133","2PL",1.55309757687327,0.61253731114088,NA,NA,"MA0176","EE"
"MA0137","2PL",1.66058027479816,0.363632655633761,NA,NA,"MA0177","GM"
"MA0140","2PL",1.72171296868371,-0.0144365522069016,NA,NA,"MA0178","EE"
"MA0142","2PL",1.7186110898956,1.56415607271352,NA,NA,"MA0179","FT"
"MA0145","2PL",1.50843557495428,-0.495332348366804,NA,NA,"MA0180","GM"
"MA0154","2PL",1.45282321562883,-0.934671618193586,NA,NA,"MA0181","EE"
"MA0163","2PL",1.58143419126671,1.75652458210834,NA,NA,"MA0182","GM"
"MA0168","2PL",1.58855756869827,-1.44122581591504,NA,NA,"MA0183","EE"
"MA0177","2PL",1.42644930089617,0.794248894779558,NA,NA,"MA0184","SP"
"MA0182","2PL",1.55333094113838,1.67374609828917,NA,NA,"MA0185","GM"
"MA0193","2PL",1.5933238055166,-0.699398035410174,NA,NA,"MA0186","EE"
"MA0196","2PL",1.72270689668052,-0.421343339108134,NA,NA,"MA0187","GM"
"MA0207","2PL",1.57588783361184,0.732460897575056,NA,NA,"MA0188","EE"
"MA0221","2PL",1.43781463772012,-1.79751328881513,NA,NA,"MA0189","SP"
"MA0222","2PL",1.57673209725874,0.221161303598405,NA,NA,"MA0190","NS"
"MA0238","2PL",1.50497909845422,-0.900713176407245,NA,NA,"MA0191","FT"
"MA0245","2PL",1.69400556943759,1.4092611967118,NA,NA,"MA0192","NS"
"MA0258","2PL",1.76874206091643,0.815519274729441,NA,NA,"MA0193","NS"
"MA0281","2PL",1.42706198203024,0.458524007584479,NA,NA,"MA0194","EE"
"MA0289","2PL",1.54319329710613,0.511009626975302,NA,NA,"MA0195","EE"
"MA0291","2PL",1.50938973011296,0.273377086920801,NA,NA,"MA0196","GM"
"MA0292","2PL",1.56631263081026,0.374788382682736,NA,NA,"MA0197","SP"
"MA0295","2PL",1.43745014899931,2.17563434917125,NA,NA,"MA0198","FT"
"MA0303","2PL",1.49378411530329,2.33677210572616,NA,NA,"MA0199","FT"
"MA0306","2PL",1.4686716081212,1.60916597940551,NA,NA,"MA0200","EE"
"MA0311","2PL",1.74916365065121,1.05742191412457,NA,NA,"MA0201","SP"
"MA0317","2PL",1.5472561378674,-0.51615552145566,NA,NA,"MA0202","SP"
"MA0329","2PL",1.4160115474237,-0.533718109102741,NA,NA,"MA0203","FT"
"MA0332","2PL",1.47875262712995,-1.29246321556608,NA,NA,"MA0204","FT"
"MA0349","2PL",1.4092003129956,1.18468969065712,NA,NA,"MA0205","FT"
"MA0354","2PL",1.65230935049275,-0.147845637359605,NA,NA,"MA0206","EE"
"MA0361","2PL",1.74122437119236,-2.32531065757715,NA,NA,"MA0207","FT"
"MA0362","2PL",1.69715485761811,1.67055079557405,NA,NA,"MA0208","FT"
"MA0367","2PL",1.46090174841842,1.04464677483226,NA,NA,"MA0209","FT"
"MA0370","2PL",1.59104137295256,-1.35158801489059,NA,NA,"MA0210","EE"
"MA0382","2PL",1.44588688136394,1.19620191942719,NA,NA,"MA0211","EE"
"MA0384","2PL",1.40866827650993,0.391773254371381,NA,NA,"MA0212","NS"
"MA0388","2PL",1.42739751764652,0.572046562966064,NA,NA,"MA0213","NS"
"MA0395","2PL",1.50124964495234,0.556026012535017,NA,NA,"MA0214","GM"
"MA0398","2PL",1.45999335708256,0.0302754297966322,NA,NA,"MA0215","SP"
"MA0406","2PL",1.50782750766522,0.273719499427288,NA,NA,"MA0216","GM"
"MA0415","2PL",1.4535076018755,-0.468533750559564,NA,NA,"MA0217","EE"
"MA0417","2PL",1.77910036646232,1.10163196431026,NA,NA,"MA0218","EE"
"MA0423","2PL",1.67763255487536,-0.0123846276395467,NA,NA,"MA0219","EE"
"MA0431","2PL",1.44463700738873,-1.46530450217492,NA,NA,"MA0220","GM"
"MA0441","2PL",1.40176514931281,0.228587551154171,NA,NA,"MA0221","GM"
"MA0458","2PL",1.64790886457063,-1.46982631176213,NA,NA,"MA0222","GM"
"MA0496","2PL",1.70079966230364,-1.17812667894315,NA,NA,"MA0223","SP"
"MA0504","2PL",1.76591637018348,0.0580275570689374,NA,NA,"MA0224","EE"
"MA0505","2PL",1.46858784898736,1.00510140529557,NA,NA,"MA0225","SP"
"MA0509","2PL",1.44976510968768,1.53258740876869,NA,NA,"MA0226","FT"
"MA0513","2PL",1.42980012600859,-0.328430526881349,NA,NA,"MA0227","GM"
"MA0522","2PL",1.50242301876031,0.631707967373388,NA,NA,"MA0228","FT"
"MA0527","2PL",1.40100109270766,0.191802315129633,NA,NA,"MA0229","FT"
"MA0535","2PL",1.60495933721705,1.9358334044341,NA,NA,"MA0230","NS"
"MA0538","2PL",1.46869519062222,1.99884304710478,NA,NA,"MA0231","GM"
"MA0545","2PL",1.43402168132053,1.3472417835729,NA,NA,"MA0232","SP"
"MA0551","2PL",1.68196898936895,0.559273607012339,NA,NA,"MA0233","EE"
"MA0554","2PL",1.75876114885875,-0.352101103865899,NA,NA,"MA0234","EE"
"MA0566","2PL",1.53262167620257,1.17964789100235,NA,NA,"MA0235","EE"
"MA0576","2PL",1.58005683455713,1.66258316381412,NA,NA,"MA0236","GM"
"MA0579","2PL",1.41042676172223,-1.79967246282206,NA,NA,"MA0237","NS"
"MA0596","2PL",1.45032047241635,0.831094789624929,NA,NA,"MA0238","EE"
"MA0612","2PL",1.61834440509643,0.392070133712633,NA,NA,"MA0239","EE"
"MA0631","2PL",1.58658356637907,-1.20128810575861,NA,NA,"MA0240","EE"
"MA0007","2PL",1.48709194438357,0.849770962258501,NA,NA,"MA0241","FT"
"MA0020","2PL",1.39530240840803,0.935929050865441,NA,NA,"MA0242","FT"
"MA0022","2PL",1.58589987729685,0.85711090564857,NA,NA,"MA0243","EE"
"MA0032","2PL",1.77652047796982,0.563426824777334,NA,NA,"MA0244","GM"
"MA0041","2PL",1.68621690194983,0.0493535563747107,NA,NA,"MA0245","NS"
"MA0048","2PL",1.57443016999498,0.850541360162294,NA,NA,"MA0246","EE"
