"mean_bias_SW_shadow","mean_bias_SL_shadow","mean_bias_SW","mean_bias_SL","RMSE_SW_shadow","RMSE_SL_shadow","RMSE_SW","RMSE_SL","mean_overlap_SW","sd_overlap_SW","mean_overlap_SL","sd_overlap_SL","max_exp_SW","max_exp_SL","replication"
0.00244866512275777,-0.00206230012328115,0.00243420815997178,-0.00243394472282572,0.204743034418869,0.20490933083488,0.204746070255894,0.202599777073535,0.122207007007001,0.112035503519483,0.12528198198198,0.110037939505013,0.251,0.269,55
-0.00921727852531547,-0.00162932552620053,-0.00921425820081511,-0.000701817223575487,0.199138491709368,0.21145966807537,0.19914041115574,0.205414545871759,0.122989689689696,0.116026524003667,0.125968468468468,0.111654140483634,0.218,0.257,56
0.00239051310271653,-0.00581795880508731,0.0023903868626851,-0.00422835984651743,0.206997932953165,0.214547254639523,0.207019621970732,0.209462706952296,0.122222522522523,0.116703685987359,0.123055205205204,0.11078213995638,0.254,0.255,57
0.00720420659334153,-0.00184871631711042,0.00720863831007198,-0.00190902249602964,0.212922020988899,0.215123660141604,0.21294078024534,0.209509707939847,0.119620820820818,0.113028832316713,0.126848448448449,0.113799793272353,0.232,0.263,58
0.0100886270178331,-0.00223994160854235,0.0100874018958465,-0.00200778893678649,0.209512056655286,0.216603432690069,0.209514818031978,0.211388194073711,0.125100400400401,0.113054142920799,0.127477427427424,0.113217328801175,0.244,0.248,59
-0.00799305159461497,-0.00107890029637502,-0.00799609266055124,-0.00162251228604984,0.210037974805611,0.210902071366042,0.210023010699478,0.207545841532796,0.121410160160162,0.113821421153504,0.12189359359359,0.110185832067421,0.229,0.263,60
0.000155486479090669,0.00214246526723384,0.000139991214960425,0.00140971184327136,0.208868854786252,0.216857524495603,0.208836751911516,0.211035355704155,0.125132532532531,0.115837181171434,0.125463713713715,0.11257708639941,0.244,0.256,61
-0.0109810067203414,0.0017331507851191,-0.0109845062377195,0.000500879417362956,0.202051328412196,0.211793102608,0.202068424756485,0.206538152238482,0.124727377377378,0.11639425122476,0.12762037037037,0.111705012157994,0.228,0.242,62
-0.00556119226079704,0.000193825638806415,-0.00555430819576579,0.00100786697242877,0.207183487633665,0.211974557395814,0.207201717609718,0.204867462888191,0.121560360360361,0.114111023036716,0.125539839839837,0.111712705420638,0.249,0.262,63
-0.00791151329607291,-0.0115502496082513,-0.00791156504659229,-0.0103425460489296,0.203346900574224,0.207581191803911,0.203341965328072,0.204726316956154,0.124244444444449,0.113035347349245,0.129709559559558,0.111182731580683,0.239,0.278,64
0.00633058494460811,-0.00473034317742068,0.00634288201859711,-0.0055372310344298,0.195953681801832,0.21837658733754,0.195933214251776,0.213890798816932,0.120390240240242,0.113187497751623,0.123855305305305,0.109275316111762,0.235,0.268,65
0.000985587288821748,0.00486793619110746,0.00098469593664363,0.00420641008567424,0.208830108555401,0.208602607847526,0.208827578513024,0.201827933076756,0.121633283283283,0.114084811338727,0.122002652652654,0.11020190511859,0.22,0.257,66
